Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Date,Created,Updated
Belgium,Belgium,AZFPout,2018-07-12,2018-08-18,ARMS_Belgium_AZFPout_20180712_20180818,0,0,0,124,2019-11-11 17:24:07.663910+00:00,2022-03-25 14:18:56.036366+00:00
Belgium,Belgium,AZBW1,2019-09-24,2020-03-03,ARMS_Belgium_AZBW1_20190924_20200303,0,0,0,1,2020-05-12 11:39:10.861338+00:00,2022-03-25 14:19:46.370101+00:00
Belgium,Belgium,AJJC81,2020-05-06,2020-10-12,ARMS_Belgium_AJJC81_20200506_20201012,0,0,0,36,2020-09-25 10:56:43.886220+00:00,2022-03-25 14:15:59.998460+00:00
Belgium,Belgium,AJJC86,2020-05-06,2020-10-12,ARMS_Belgium_AJJC86_20200506_20201012,0,0,0,34,2020-09-25 10:57:53.405589+00:00,2022-06-28 13:15:45.468486+00:00
Belgium,Belgium,AZBE1,2019-09-24,2020-03-03,ARMS_Belgium_AZBE1_20190924_20200303,0,0,0,38,2020-05-12 11:31:48.457533+00:00,2022-03-25 14:19:13.167911+00:00
Belgium,Belgium,CoastbustersA,2021-04-22,2021-10-08,ARMS_Belgium_CoastbustersA_20210422_20211008,0,0,0,18,2021-10-12 13:10:33.879527+00:00,2022-06-28 13:17:19.328622+00:00
Belgium,Belgium,AJJCD78,2021-02-25,2021-08-19,ARMS_Belgium_AJJCD78_20210225_20210819,0,0,0,18,2021-09-01 11:25:43.067226+00:00,2022-06-28 13:16:21.840881+00:00
Belgium,Belgium,AJJCD78,2020-05-06,2020-10-12,ARMS_Belgium_AJJCD78_20200506_20201012,0,0,0,36,2020-09-25 10:58:43.320445+00:00,2022-06-28 13:16:40.292936+00:00
Belgium,Belgium,BirkenfelsA,2020-06-17,2021-03-09,ARMS_Belgium_BirkenfelsA_20200617_20210309,0,0,0,36,2021-04-07 13:16:24.955584+00:00,2022-06-28 13:15:20.065583+00:00
Belgium,Belgium,BirkenfelsB,2020-06-17,2021-03-09,ARMS_Belgium_BirkenfelsB_20200617_20210309,0,0,0,36,2021-04-07 13:38:57.775054+00:00,2022-06-28 13:15:00.961108+00:00
Belgium,Belgium,AJJCD89,2021-02-25,2021-08-19,ARMS_Belgium_AJJCD89_20210225_20210819,0,0,0,18,2021-09-01 11:34:48.606126+00:00,2022-06-28 13:14:27.027045+00:00
Belgium,Belgium,AJJBC89,2021-02-25,2021-08-19,ARMS_Belgium_AJJBC89_20210225_20210819,0,0,0,18,2021-09-01 11:32:59.317224+00:00,2022-06-28 13:14:01.788110+00:00
Belgium,Belgium,AZFPin,2018-07-12,2018-08-18,ARMS_Belgium_AZFPin_20180712_20180818,0,0,0,293,2019-11-11 17:21:05.855663+00:00,2022-03-25 14:18:22.855834+00:00
Belgium,Belgium,CPowerA,2021-06-23,2022-06-22,ARMS_Belgium_CPowerA_20210623_20220622,0,0,0,18,2022-06-28 12:25:10.219076+00:00,2022-06-28 13:12:05.860715+00:00
Belgium,Belgium,CPowerB,2021-06-23,2022-06-22,ARMS_Belgium_CPowerB_20210623_20220622,0,0,0,18,2022-06-28 12:53:36.498552+00:00,2022-06-28 13:12:27.152555+00:00
Belgium,Belgium,CPowerC,2021-06-23,2022-06-22,ARMS_Belgium_CPowerC_20210623_20220622,0,0,0,18,2022-06-28 13:06:15.387311+00:00,2022-06-28 13:12:53.220469+00:00
